nombre;categoria;direccion;ciudad;cp;telefono;web;rating;reviews;lat;lng
Maserof Kennels, Dog Hotel;Perrera;Camino Fondo Varo 1, Maserof;Alicante;;689 12 90 61;https://costablancakennels.com/;5;0;;
Pelukiara Canina;Peluquero de mascotas;Carrer d'Arimon, 16;08022 Barcelona;;638 93 27 32;https://instagram.com/pelukiaracanina?igshid=YmMyMTA2M2Y=;5;0;;
Más psicología y menos chuchería.Etología, Educación y Adiestramiento Canino;Adiestrador canino;Plaça del Doctor Fleming, 2;Alicante;;684 76 00 95;;5;0;;
Crematorio de Animales Santa María de Guía / Petsky;Servicio de cremación;Diseminado Barranco Hondo, 6;Las Palmas;;649 49 88 47;http://www.petsky.es/;5;0;;
K9 SportDogs;Club deportivo;Cam. de la Horna;Alicante;;649 02 83 83;https://juanjok9.com/;5;0;;
TanderCan;Adiestrador canino;;;;656 96 23 27;https://www.tandercan.com/;5;0;;
Ulver canine club - Dog training;Adiestrador canino;Carrer de la Concòrdia;08004 Barcelona;;602 46 10 33;http://www.ulvercanineclub.com/;5;0;;
La Perricueva;Guardería canina;;;;677 30 00 37;https://www.instagram.com/laperricueva.bcn?igsh=ZjF6MTZycXdoYmt6;5;0;;
Gos-SOS Adiestrador canino en Barcelona;Adiestrador canino;Pg. de la Bonanova, 34;08022 Barcelona;;691 76 62 32;https://www.gos-sos.com/;5;0;;
Sapiens Dog - Educación canina / Adiestramiento canino / Educación cachorros;Adiestrador canino;Carrer de Castanys, 27;08005 Barcelona;;633 51 50 85;http://www.sapiensdog.com/;5;0;;
Perruqueando;Peluquero de mascotas;Av. del Editor Ángel Caffarena, 25, Blq 5;29010 Málaga;;;https://www.instagram.com/perruqueandomlg?igsh=YTdvNThmOG4yanBh;5;0;;
Moni’s Clinica Veterinaria;Veterinario;C. Costa de Marfil 7014;México;;+52 656 703 2712;https://m.facebook.com/vetmonis/;5;0;;
La guardería de Vero 🐶💘🐱;Guardería canina;;;;603 25 57 07;;5;0;;
Parque para perros;Parque para perros;Calle Pai la Torre, 5J;Valencia;;;;5;0;;
Canevolution;Adiestrador canino;C9Q5+66;Valencia;;622 50 16 02;http://canevolution.com/;5;0;;
MiDoggie;Peluquero de mascotas;;;;619 02 60 26;https://www.midoggie.es/;5;0;;
Tidus Sniff-spot private dog park;Parque para perros;16510 Barcelona Dr;Estados Unidos;;+1 713-449-7335;https://www.sniffspot.com/to/AO7iaMhM;5;0;;
EntrePerros;Adiestrador canino;36863 Ponteareas;Pontevedra;;644 34 15 13;https://entreperros.infinityfree.me/;5;0;;
We Love Dogs LA;Guardería canina;5814 W 3rd St;Estados Unidos;;+1 323-532-6543;https://www.welovedogsla.com/;5;0;;
El Capricho Pet - Para tu Peludo... Con Amor;Tienda de alimentos para animales;Calle de Luisa Fernanda, 22;28008 Madrid;;919 39 44 02;https://www.instagram.com/elcapricho.madrid/;5;0;;
Tyara;Peluquero de mascotas;C. Antonio Martelo, 7, Loc comercial 8;29006 Málaga;;608 77 17 93;https://www.facebook.com/Sal%C3%B3n-de-Belleza-Canina-Tyara-100382428671625;5;0;;
Petsonaltrainer;Adiestrador canino;;;;645 62 03 99;https://www.petsonaltrainer.es/;5;0;;
RI-Hab Vet;Veterinario;San Francisco 4531;México;;+52 664 729 6736;https://www.instagram.com/rihabvet/;5;0;;
Parroquianos Barbería;Barbería;C. Florencio Quintero, 26 E;41009 Sevilla;;605 97 64 16;http://www.parroquianosbarberia.com/;5;0;;
Perriamigos Servicios Para Mascotas;Cuidador de mascotas;Plaça de l'Alqueria Nova, 7c;Valencia;;658 64 03 21;https://perriamigos.webnode.es/;5;0;;
Kaysuscan Training - Educación y Etología canina y felina;Adiestrador canino;;;;610 37 73 72;https://form.jotform.com/260746647306058;5;0;;
GLOBAL K9 INSTRUCTOR;Adiestrador canino;;;;631 71 73 52;https://www.instagram.com/miguel_sanchez_merenciano_garc/;5;0;;
Salón de Belleza Canino Yulia Shama;Peluquero de mascotas;Av. del General Avilés, 82, bajo;Valencia;;603 01 22 06;;5;0;;
Educación Canina UCan;Adiestrador canino;;;;638 11 74 73;;5;0;;
Adiestramiento Good Job;Adiestrador canino;C. de Illescas, 189, Loc 1;28047 Madrid;;653 85 83 22;https://adiestramientogoodjob.com/;5;0;;
XEQUEDOG!;Adiestrador canino;;;;618 03 57 66;https://xequedog.com/;5;0;;
Zona Canem;Guardería canina;C. del Gorrión, 61;28019 Madrid;;652 31 31 51;;5;0;;
Mimando su Pelo;Peluquero de mascotas;;;;;http://www.mimandosupelo.com/;5;0;;
ATV Girona;Veterinario;Carrer del Carme, 63;17004 Girona;;619 44 65 35;https://auxiliar-veterinaria.com/;5;0;;
K9 Personal Dog Trainer - Adiestrador canino Barcelona;Adiestrador canino;;;;640 19 43 48;https://www.k9personaldogtrainer.com/;5;0;;
Veterinaria González;Médico;Zaragoza 318;México;;;;5;0;;
La Oliva Peluquería Canina;Peluquero de mascotas;Rúa das Teixugueiras, 11, Loc 4;Pontevedra;;611 42 16 22;https://www.instagram.com/laolivavigo/;5;0;;
LvlUpDog;Adiestrador canino;Carrer de l'Esport, 16, 4-2, b;08950 Barcelona;;653 62 98 14;;5;0;;
Centro canino Los Árboles;Guardería canina;Diseminado Meroños, 170;Murcia;;614 16 65 19;http://centrocaninolosarboles.com/;5;0;;
Lily's Pets Guardería Canina;Guardería canina;C. de Embajadores, 124;28045 Madrid;;651 84 19 90;;5;0;;
Cat Sitter Barcelona | Guardería Felina 5 ⭐️;Cuidador de mascotas;Carrer de Lepant, 203;08013 Barcelona;;623 96 18 51;http://catsitterbcn.com/;5;0;;
Pakypet: peluquería y estética canina;Peluquero de mascotas;C. de Nicaragua, 20;28016 Madrid;;604 15 59 86;https://pakypetpeluqueriacanina.net/;5;0;;
Truco Canino - Educación y Adiestramiento;Adiestrador canino;Rúa Da Carrasqueira;Pontevedra;;606 38 57 16;http://www.trucocanino.com/;5;0;;
Educador Canino - Fali Nondedeu;Adiestrador canino;C/ d'Anselm Clavé, 99, oficina 11;Girona;;606 68 10 71;https://www.educadorcanino.es/;5;0;;
La Última de la Camada;Adiestrador canino;;;;654 02 04 16;;5;0;;
De Vil Salón Canino;Peluquero de mascotas;C. Emilio Alarcos Llorach, 4, bajo;Asturias;;604 97 02 62;https://instagram.com/devilsaloncanino?igshid=MjEwN2IyYWYwYw==;5;0;;
Peluquería Canina Patitas;Peluquería;Calle Arzobispo Guisasola, 5;Asturias;;675 88 67 42;;5;0;;
FielCan;Adiestrador canino;;;;669 40 24 70;https://adiestramientofielcan.com/;5;0;;
Centro Canino Contra la Contaminación S. de R.L. de C.V.;Adiestrador canino;32557 Juárez, Chih.;México;;+52 656 286 9750;http://centrocaninok9.com/;5;0;;
Criadero UKALKING;Criador canino;30813 Purias;Murcia;;;;5;0;;
educador canino montxo;Adiestrador canino;;;;616 82 83 04;https://educadorcaninomontxo.com/;5;0;;
Adiestrador Madrid;Adiestrador canino;Cl. de la Hacienda de Pavones, 244;28030 Madrid;;696 15 02 46;http://adiestradormadrid.es/;5;0;;
PETLUCHINES;Peluquero de mascotas;C. Conde de Benavente, 4;47003 Valladolid;;654 14 02 58;https://petluchines.es/;5;0;;
Canidos Training;Adiestrador canino;C. Cueva del Gato, 8, Blq 2, 4 c;41020 Sevilla;;605 91 47 11;http://www.canidostraining.com/;5;0;;
ESTÉTICA MASKOTAS;Peluquero de mascotas;;;;633 33 32 74;https://www.facebook.com/Estetica.Maskota/;5;0;;
Adiestramente | Adiestramiento Canino en Alzira;Adiestrador canino;;;;637 80 14 33;https://adiestramente.com/;5;0;;
Makaila Pet Shop | Tienda de Mascotas en Málaga;Tienda de productos para mascotas;Calle Pelayo, 1, Loc 6;29009 Málaga;;634 71 69 48;https://www.makailapetshop.com/;5;0;;
Cucos y Coquetos Peluqueria Canina;Peluquero de mascotas;C. Pintor Muñoz Barberán, 8;30120 Murcia;;624 89 15 23;;5;0;;
Dog Adventure - Actividades con perro en Madrid;Adiestrador canino;C. Angelillo;28018 Madrid;;686 64 36 81;https://dogadventure.es/;5;0;;
Crea CoCo;Adiestrador canino;46119 Nàquera;Valencia;;699 91 13 03;http://www.creacoco.net/;5;0;;
Estilismo Canino Bárbara Torres;;C. Andrés Bernáldez, 22;29010 Málaga;;;;5;0;;
TIERRAS DE FURIA;Adiestrador canino;V58W+Q5;14004 Córdoba;;671 35 45 50;;5;0;;
AmigoAnimal;Tienda de animales;Av. de Velázquez, 47;29003 Málaga;;952 61 84 54;;5;0;;
LAGUN ONAK pastelería y repostería natural para mascotas;Tienda de alimentación;Goienkale, 6;Bizkaia;;946 96 84 74;;5;0;;
Adiestramiento Canino Grupo GAL;;Av. 13 Ote. 3034;México;;+52 222 561 3475;;5;0;;
Mas Q Hocicos;Tienda de productos para mascotas;Iturribide Kalea, 84, Online;Biscay;;646 67 19 16;http://www.masquehocicos.com/;5;0;;
Warren;Peluquero de mascotas;Calle Almte., N° 2, Loc 5;29002 Málaga;;611 15 63 72;https://www.instagram.com/warren_pelucanina?igsh=MXQ1aHhnYXR1dGNydA==;5;0;;
Cognican;Adiestrador canino;;;;622 92 52 54;https://cognicanadiestramiento.com/;5;0;;
Border Collie Cima del Risal (visitas con cita previa);Criador canino;CV-411;Valencia;;684 33 38 04;http://cimadelrisal.com/;5;0;;
PERRONE TIENDA DE MASCOTAS AUTOLAVADO;Tienda de animales;C. Gral. Elizaicin, 47;03013 Alicante;;672 85 46 81;;5;0;;
Verde Lima - Educación y Rehabilitación Canina;Adiestrador canino;;;;626 78 29 06;;5;0;;
Caring Dog Luis montoto;Tienda de productos para mascotas;C. José María Moreno Galván, 2;41003 Sevilla;;854 72 81 87;http://www.caringdog.com/;5;0;;
El adiestrador de perros Barcelona;Adiestrador canino;Carrer de Ganduxer, 140;08022 Barcelona;;607 79 52 44;https://www.eladiestradordeperros.com/;5;0;;
Guaw Sevilla Higueron;Tienda de productos para mascotas;C. Caronte;41015 Sevilla;;604 55 52 00;https://www.guaw.com/;5;0;;
DogInStyle - Peluqueria Canina Malaga;Peluquero de mascotas;C. Calerito, 11, Local B377;29003 Málaga;;611 35 89 41;https://doginstyle.es/;5;0;;
Cientotrece Peluquería canina;Peluquero de mascotas;Pl. Joaquin Olmedo, 2;30157 Murcia;;611 83 27 60;https://instagram.com/cientotrece_pelucanina?igshid=NjIwNzIyMDk2Mg==;5;0;;
Artedog Vigo;Peluquero de mascotas;R. de Aragón, 149 - Interior, Local 1;Pontevedra;;674 28 42 78;;5;0;;
Paseador de perros y guardería canina Barcelona@Mascotafelizz;Cuidador de mascotas;Avinguda Meridiana, 40, Entresuelo2 izquierda;08018 Barcelona;;602 46 75 75;https://sites.google.com/view/mascotafelizz/inicio;5;0;;
Adiestrador y educador canino Camacho;Adiestrador canino;;;;671 71 96 36;http://adiestrarperrosmalaga.com/;5;0;;
tactical dog valencia;Adiestrador canino;Carrer d'Esteve Ballester;Valencia;;641 50 28 72;http://www.tacticaldogvalencia.es/;5;0;;
Athoscan educación canina;Adiestrador canino;C. Navas de Tolosa, s/n;Sevilla;;639 66 31 52;https://www.athoscaneducacioncanina.com/;5;0;;
Adiestramiento Canino en Valencia - Dos Adiestramiento;Adiestrador canino;;;;623 95 35 07;https://dosadiestramiento.com/;5;0;;
Peluquería y estética canina Laika;Peluquero de mascotas;C. Mayor, 89;30158 Murcia;;681 90 92 60;;5;0;;
Mundogatuno;Peluquero de mascotas;C. Eugenio Oneguin, 10 bis;29006 Málaga;;665 81 37 89;;5;0;;
Etólogo canino en Madrid Iván García;Adiestrador canino;;;;693 46 52 68;https://etologiaivangarcia.wixsite.com/etologocanino;5;0;;
Hammam Dog's;Guardería canina;C. Valdés Leal, 2;14003 Córdoba;;614 27 34 27;;5;0;;
Narú adiestramiento canino;Adiestrador canino;;;;;;5;0;;
MASCOTES TRAMUNTANA;Criador canino;Barri La Pobla, 9;Girona;;613 00 99 99;https://mascotastramuntana.com/;5;0;;
Guarderia Canina La Casa de Las Chicas;Cuidador de mascotas;;;;+54 351 240-2857;https://www.instagram.com/guarderia.lacasadelaschicas?igsh=MTBqdzBzdXlxaHo3ag==;5;0;;
PasseigxBarcelona;Cuidador de mascotas;08006;08036 Barcelona;;;https://passeigxbarcelona.com/;5;0;;
Dog Balancing Hotel;Perrera;2351 103rd Ave;Estados Unidos;;+1 510-415-6894;https://dogbalancing.com/;5;0;;
Guardería canina Creciendo Juntos;Guardería canina;29580 Estación de Cártama;Málaga;;;https://www.facebook.com/paseoscaninoscreciendojuntos;5;0;;
Veterinaria Barcelona;Hospital veterinario;Barcelona 8802;México;;+52 664 635 3779;https://www.facebook.com/people/Veterinaria-Barcelona-Tijuana/100063856909588/;5;0;;
Criador y Adiestrador canino Entreboxer;Adiestrador canino;C. Trascorrales, 11;Sevilla;;686 22 26 47;http://www.entreboxer.es/;5;0;;
Casa Amigos de Gofio;Servicio de embarque de mascotas;C. Secretario Padilla, 62;Las Palmas;;;;5;0;;
Vinculados Educación Canina;Adiestrador canino;Av. la Aeronáutica, 2;41020 Sevilla;;679 88 93 21;http://www.vinculados.es/;5;0;;
Las Hoyuelas Residencia Canina;Cuidador de mascotas;Paraje El Jabonero, s/n;Murcia;;679 56 20 87;http://www.residenciacaninalashoyuelas.com/;5;0;;
DeAnimals | Derecho Animal;Centro de formación;Edificio CIM;Murcia;;;https://www.deanimals.com/;5;0;;
MICAN Adiestramiento Canino;Adiestrador canino;C. de Alfonso XII, 66;28014 Madrid;;655 10 47 97;https://micanadiestramiento.es/;5;0;;
WOF;Tienda de productos para mascotas;Av. de la Region Murciana, 71, bajo;30011 Murcia;;608 08 33 23;https://www.ilovewof.com/;5;0;;
actuarperro Adiestramiento Canino Profesional;Adiestrador canino;Av. de Colmenar Viejo, 25;Madrid;;611 15 58 29;http://www.actuarperro.com/;5;0;;
Peluquería Canina Daniela;Peluquero de mascotas;C. de la Virgen de la Roca, 35;28027 Madrid;;603 13 83 95;https://business.google.com/v/_/09953497062888361850/c1bb/_?caid=21291795341&agid=161650291359&gclid=CjwKCAjwsZPDBhBWEiwADuO6y2FuzvVVJf4VSdg6I-Kr6GRENf2jSCjUcKCcPTVzsoEL9hgs2NnkyxoCDtYQAvD_BwE&gad_source=6&gad_campaignid=21291795341&gbraid=0AAAAA9qsbww1sgIHYBv3gHW3S4FvV8els;5;0;;
MyPu - Manos y Patas unidas;Asociación u organización;;;;621 06 26 43;https://www.mypu.es/;5;0;;
Masdog Educación Canina;Adiestrador canino;Partida Vallongas, 35;Alicante;;633 06 34 89;https://masdog.webnode.es/;5;0;;
Txukunpet Peluqueria Canina;Peluquero de mascotas;Kalea Manuel Allende, 15;Bizkaia;;946 85 55 69;;5;0;;
Residencia Canina;Peluquero de mascotas;C. Sta. Lucía, 68;Sevilla;;954 14 12 35;;5;0;;
EDUCANES Adiestramiento Canino en Puebla;Adiestrador canino;;;;+52 222 207 7410;;5;0;;
Adiestrador Canino Javier Balebona;Adiestrador canino;;;;652 81 30 71;https://www.lasonrisapeluda.org/;5;0;;
CHOCO CBD;Grow Shop;C. Dársena, 13;47009 Valladolid;;669 74 05 97;https://chococbdshop.com/;5;0;;
Burbuja Pet Shop y Peluquería Canina;Tienda de productos para mascotas;Cra. 80f #9-75;Colombia;;+57 321 3258756;;5;0;;
Centro Canino Tindara;Guardería canina;Montaña de Guia, 78;Las Palmas;;620 12 10 18;;5;0;;
CanyWolf;Adiestrador canino;;;;680 21 80 57;;5;0;;
Clínica Veterinaria S'Arenal;Veterinario;Carrer de Joan Homs, 11;Illes Balears;;971 49 01 53;https://www.instagram.com/vetarenal/;5;0;;
Centro de Bienestar Animal;Refugio para animales;;;;675 20 20 02;http://www.centrodebienestaranimal.es/;5;0;;
Petstyle House;Peluquero de mascotas;Av. Padre Vinjoy, 6;Asturias;;674 86 91 38;;5;0;;
DOGTM;Adiestrador canino;Cortijo Campillo, Parcela 120 Polígono 14, Entrerrios;Málaga;;670 60 41 72;;5;0;;
X;Guardería canina;C. de Blasco de Garay, 75;28003 Madrid;;;;5;0;;
LA CORREA alimentos para mascotas y más;Tienda de productos para mascotas;Banámichi;México;;;;5;0;;
Haciendo vinculo;Adiestrador canino;C/ de Muntaner, 450;08006 Barcelona;;667 35 89 77;https://www.instagram.com/haciendovinculo/;5;0;;
Con Pelos y a lo Loco;Peluquero de mascotas;C. del Conde de Ribadeo, 7;47003 Valladolid;;626 62 92 57;;5;0;;
Dami - Gidican, Centre d'educació canina (Banyoles);Adiestrador canino;Carrer de Puigpalter, 59;Girona;;622 00 77 48;https://alisagr.com/gimnas-cani-indoor-banyoles/;5;0;;
Hotel Mascotas Peludetes San Vicente del Raspeig;Guardería canina;Partida;Alicante;;688 70 53 94;;5;0;;
Goscandog. Macarena Medina.;Adiestrador canino;C. de la Encomienda de Palacios;28030 Madrid;;691 47 69 30;http://www.goscandog.com/;5;0;;
Asociación Fortuna Canina;Adiestrador canino;Camino Senda Enmedio, Parcela - 200;Murcia;;625 87 86 63;;5;0;;
Escuela Canina GADI;Adiestrador canino;Carrer Tomas Capelo, 7, 4to Izq;Alicante;;681 62 58 11;https://adiestramientogadi.com/;5;0;;
Patitas Clínica Veterinaria 🐾❤️;Veterinario;27277;México;;+52 871 172 5152;;5;0;;
CUIDADO CANINO FAMILIAR Y CUIDADOS A DOMICILIO KANDARA J&M;Guardería canina;C. Barranco;Valencia;;635 63 36 43;;5;0;;
General Dog;Adiestrador canino;C. del Valle de Broto;50018 Zaragoza;;670 31 76 64;http://www.generaldog.es/;5;0;;
Fisiovet Mallorca;Veterinario;Carrer Vasco Da Gama, 5;Illes Balears;;606 50 16 88;http://www.fisiovetmallorca.com/;5;0;;
Gesforvet;Cuidados veterinarios;Pje. Esperanto, 1;29007 Málaga;;952 39 17 90;http://gesforvet.com/;5;0;;
Dilo Ladrando;Adiestrador canino;;;;644 80 41 00;http://www.diloladrando.com/;5;0;;
Animal Care Medicina Veterinaria Especializada;Veterinario;Tabasco 437 casi esquina Zaragoza;México;;+52 644 119 3662;https://www.facebook.com/AnimalCareMedicinaVeterinariaEspecializada;5;0;;
Mapache Dog House;Peluquero de mascotas;Plaza Preciosa;30008 Murcia;;659 41 24 49;https://www.instagram.com/mapachedoghouse/;5;0;;
La Patita Presumida;Peluquero de mascotas;C. Augusto Junquera, 4;Asturias;;602 04 12 13;;5;0;;
Lucky dog training Valencia;Adiestrador canino;Carrer de Dòmenech de Gamieta, 95;Valencia;;614 67 24 50;;5;0;;
Residencia Canina Málaga Can Resort;Adiestrador canino;Cam. Lo Cotta, 1;Málaga;;664 49 01 68;http://www.canresort.com/;5;0;;
Jorge Bretón veterinario a domicilio;Veterinario;Calle Universidad, 11;Murcia;;639 63 94 31;http://www.breton-ambiental.es/veterinario;5;0;;
Bastian, adiestramiento canino;Entrenador de mascotas;Partida Germanells, S/N, Parcela 41;Valencia;;663 89 73 06;https://adiestradorvalencia.com/;5;0;;
Canikos Guardería Canina;Guardería canina;;;;603 04 43 06;https://instagram.com/pedroenriquecaris?utm_source=qr&igshid=ZDc4ODBmNjlmNQ%3D%3D;5;0;;
Ecopet Gourmet;Tienda de alimentos orgánicos;P.º Reding, 6;29016 Málaga;;693 42 52 47;https://guiademalaga.net/ecopet-gourmet-malaga/;5;0;;
PROFEDOG;Adiestrador canino;C/ del General Bonanza;Alicante;;644 76 03 40;https://www.profedogalicante.com/;5;0;;
Resortcan El Olivar;Guardería canina;Polígono 2;Alicante;;722 49 36 91;;5;0;;
Clínica Veterinaria Limonar;Veterinario;P.º de Sancha, 60;29016 Málaga;;951 70 23 35;http://www.clinicaveterinarialimonar.com/;5;0;;
Centro Veterinario Domínguez;Hospital veterinario;Blvd. Zaragoza 2021;México;;+52 656 207 0523;;5;0;;
Dogue Estilismo Canino;Peluquero de mascotas;Music Rodrigo;Valencia;;611 89 88 91;https://doguestilismo.com/;5;0;;
Andrea's Animal Rescue & The Henrietta Foundation;Servicio de rescate de animales;V5P6+9QX;Murcia;;690 90 65 65;https://andreasanimalrescue.com/;5;0;;
Thais Laespada Educadora Canina;Adiestrador canino;;;;656 78 55 09;https://www.thaislaespada.com/;5;0;;
OXXO La Madrid LOV;Tienda de productos para mascotas;La Madrid Y Carretera Sabinas 205 Abasolo, Francisco I. Madero Supermanzana Y;México;;+52 81 8320 2020;https://www.oxxo.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp;5;0;;
María y Lucía B&B;Hotel;C. de López Botas, 26;Las Palmas;;620 81 28 45;https://www.booking.com/hotel/es/casa-maria-las-palmas-de-gran-canaria1.en.html?aid=2267672&no_rooms=1&group_adults=2;5;0;;
Maison Lia - Peluqueria Canina & Concept Store;Peluquero de mascotas;Av. de Portugal, 173;28011 Madrid;;614 88 17 03;https://maisonliamadrid.com/;5;0;;
CuidoTuPerroElche;Cuidador de mascotas;Partida Perleta;Alicante;;626 69 70 53;https://cuidotuperroelche.carrd.co/;5;0;;
Kukies peluquería canina y felina;Peluquería;Carrer de Bartomeu Sureda i Miserol, 1;Illes Balears;;619 57 56 24;https://peluqueriacaninayfelinakukies.es/;5;0;;
Asociación VICAF (Vida en el Campo, Caballo Feliz);Asociación u organización;Plaça Numero 7, 448;Valencia;;622 52 26 04;https://www.asovicaf.com/;5;0;;
Tu Guía Canino;Adiestrador canino;;;;610 76 97 80;https://tuguiacanino.com/;5;0;;
La Gosseta Presumida;Peluquero de mascotas;Carrer Josep Fàbrega i Pou, 7-9;Girona;;679 25 10 18;;5;0;;
cristina educadora canina;Adiestrador canino;;;;634 94 48 11;;5;0;;
Centro canino Mi Compi de Vida SL;Adiestrador canino;GC-41, 32;Las Palmas;;668 51 34 03;https://micompidevida.com/;5;0;;
JUANITO's PETS;Peluquero de mascotas;Carrer de son Espanyolet, 15, Loc 2;Balearic Islands;;614 04 89 45;https://www.instagram.com/juanitos_pets;5;0;;
Idioma Perruno | Educación Canina Elche;Adiestrador canino;;;;611 98 04 38;https://www.idiomaperruno.com/;5;0;;
La Sonrisa del Perro;Adiestrador canino;C. de Arturo Soria, 55;28027 Madrid;;689 87 54 72;https://lasonrisadelperro.es/;5;0;;
Fanypets Estética canina;Peluquero de mascotas;Av. das Camelias, 1, Loc 5;Pontevedra;;681 87 37 36;;5;0;;
Coqui Vega;Adiestrador canino;;;;;http://www.coquivega.com/;5;0;;
Urban Doggy Peluquería y Estética Canina;Peluquero de mascotas;Norte;41008 Sevilla;;614 61 78 38;https://www.instagram.com/urbandoggy_esteticacanina;5;0;;
Santuario Canino;Adiestrador canino;;;;666 92 08 77;https://santuariocanino.pro/;5;0;;
Elena Castillo;Peluquero de mascotas;C/ de Jaume Vidal Alcover;Illes Balears;;670 36 18 89;;5;0;;
Víctor Herrera Adiestramiento DogDana;Adiestrador canino;C. los Andes;Las Palmas;;685 56 24 83;;5;0;;
MurciaSportcan;Guardería canina;Lugar Campotejar Alta, 132;Murcia;;627 92 99 30;;5;0;;
MasterDog Valencia;Adiestrador canino;;;;655 43 13 01;http://www.masterdog.es/;5;0;;
Entre pelos y ladridos;Adiestrador canino;;;;606 20 64 62;;5;0;;
